img_fName,img_w,img_h,bbx_xtl,bbx_ytl,bbx_xbr,bbx_ybr,class_label
../inaturalist-six-cropped/inaturalist/inaturalist_crawler_data_all_cleaned_sub/japonicus/0.9973_5358444.jpg,1407,1377,0,54,1391,1325,japonicus
../inaturalist-six-cropped/inaturalist/inaturalist_crawler_data_all_cleaned_sub/japonicus/0.9939_143239718.jpg,679,703,86,15,661,679,japonicus
../inaturalist-six-cropped/inaturalist/inaturalist_crawler_data_all_cleaned_sub/japonicus/0.8933_228607309.jpg,695,948,103,83,389,304,japonicus
../inaturalist-six-cropped/inaturalist/inaturalist_crawler_data_all_cleaned_sub/japonicus/0.9977_234393430.jpeg,1068,1001,0,0,1001,1068,japonicus
../inaturalist-six-cropped/inaturalist/inaturalist_crawler_data_all_cleaned_sub/japonicus/0.9992_132179876.jpeg,1315,894,2,42,1234,888,japonicus
../inaturalist-six-cropped/inaturalist/inaturalist_crawler_data_all_cleaned_sub/japonicus/0.9898_282445453.jpg,536,628,0,0,628,536,japonicus
../inaturalist-six-cropped/inaturalist/inaturalist_crawler_data_all_cleaned_sub/japonicus/0.9991_8734218.jpg,1064,1664,21,12,1015,1661,japonicus
../inaturalist-six-cropped/inaturalist/inaturalist_crawler_data_all_cleaned_sub/japonicus/0.9965_208187492.jpeg,985,767,2,20,944,678,japonicus
../inaturalist-six-cropped/inaturalist/inaturalist_crawler_data_all_cleaned_sub/japonicus/0.9984_75783264.jpg,1465,1183,0,0,1183,1465,japonicus
../inaturalist-six-cropped/inaturalist/inaturalist_crawler_data_all_cleaned_sub/japonicus/0.9981_228676858.jpg,284,240,109,28,259,159,japonicus
../inaturalist-six-cropped/inaturalist/inaturalist_crawler_data_all_cleaned_sub/japonicus/0.9995_214693153.jpg,1780,1091,121,29,1573,1070,japonicus
../inaturalist-six-cropped/inaturalist/inaturalist_crawler_data_all_cleaned_sub/japonicus/0.9992_87200776.jpg,944,1007,65,53,836,1007,japonicus
../inaturalist-six-cropped/inaturalist/inaturalist_crawler_data_all_cleaned_sub/japonicus/0.9961_95894031.jpg,450,249,122,35,353,185,japonicus
../inaturalist-six-cropped/inaturalist/inaturalist_crawler_data_all_cleaned_sub/japonicus/0.9984_150439031.jpeg,373,530,4,6,355,515,japonicus
../inaturalist-six-cropped/inaturalist/inaturalist_crawler_data_all_cleaned_sub/japonicus/0.9995_8445033.jpg,1204,1386,43,76,1181,1380,japonicus
../inaturalist-six-cropped/inaturalist/inaturalist_crawler_data_all_cleaned_sub/japonicus/0.9096_237194408.jpg,1336,1064,386,118,1151,663,japonicus
../inaturalist-six-cropped/inaturalist/inaturalist_crawler_data_all_cleaned_sub/japonicus/0.9983_163797732.jpeg,596,375,13,21,590,350,japonicus
../inaturalist-six-cropped/inaturalist/inaturalist_crawler_data_all_cleaned_sub/japonicus/0.9995_190547697.jpeg,553,748,24,4,525,745,japonicus
../inaturalist-six-cropped/inaturalist/inaturalist_crawler_data_all_cleaned_sub/japonicus/0.9991_101210773.jpeg,435,477,20,7,422,474,japonicus
../inaturalist-six-cropped/inaturalist/inaturalist_crawler_data_all_cleaned_sub/japonicus/0.9985_214000198.jpeg,1661,1046,65,26,1618,1002,japonicus
../inaturalist-six-cropped/inaturalist/inaturalist_crawler_data_all_cleaned_sub/japonicus/0.9849_64765371.jpeg,211,195,0,0,195,211,japonicus
../inaturalist-six-cropped/inaturalist/inaturalist_crawler_data_all_cleaned_sub/japonicus/0.9993_89449544.jpg,878,919,24,12,854,919,japonicus
../inaturalist-six-cropped/inaturalist/inaturalist_crawler_data_all_cleaned_sub/japonicus/0.9983_277258897.jpg,779,1311,43,59,733,1281,japonicus
../inaturalist-six-cropped/inaturalist/inaturalist_crawler_data_all_cleaned_sub/japonicus/0.9972_218637966.jpeg,1974,967,459,82,1918,860,japonicus
