img_fName,img_w,img_h,bbx_xtl,bbx_ytl,bbx_xbr,bbx_ybr,class_label
../data_round_2/final/train_09295.jpeg,4032,3024,1914.027587890625,748.7706298828125,2545.677734375,1523.9197998046875,albopictus
../inaturalist-six-cropped/inaturalist/inaturalist_crawler_data_all_cleaned_sub/aegypti/0.9993_218714323.jpeg,767,1046,89.0,9.0,647.0,903.0,aegypti
../inaturalist-six-cropped/inaturalist/inaturalist_crawler_data_all_cleaned_sub/culiseta/0.9990_244412479.jpeg,544,830,7.0,9.0,531.0,830.0,culiseta
../inaturalist-six-cropped/inaturalist/inaturalist_crawler_data_all_cleaned_sub/culiseta/0.9994_113794329.jpeg,487,735,16.0,5.0,467.0,734.0,culiseta
../inaturalist-six-cropped/inaturalist/inaturalist_crawler_data_all_cleaned_sub/albopictus/0.9982_31800756.jpeg,152,174,14.0,5.0,139.0,166.0,albopictus
../inaturalist-six-cropped/inaturalist/inaturalist_crawler_data_all_cleaned_sub/culiseta/0.9992_171211929.jpeg,1895,1080,77.0,48.0,1841.0,1008.0,culiseta
../inaturalist-six-cropped/inaturalist/inaturalist_crawler_data_all_cleaned_sub/aegypti/0.9993_24278956.jpg,450,570,25.0,16.0,419.0,552.0,aegypti
../inaturalist-six-cropped/inaturalist/inaturalist_crawler_data_all_cleaned_sub/aegypti/0.9998_34631719.jpeg,981,1477,47.0,20.0,954.0,1477.0,aegypti
../inaturalist-six-cropped/inaturalist/inaturalist_crawler_data_all_cleaned_sub/aegypti/0.9993_151734190.jpg,863,1048,52.0,39.0,802.0,1048.0,aegypti
../inaturalist-six-cropped/inaturalist/inaturalist_crawler_data_all_cleaned_sub/culiseta/0.9986_187687807.jpg,839,519,66.0,21.0,810.0,485.0,culiseta
../inaturalist-six-cropped/inaturalist/inaturalist_crawler_data_all_cleaned_sub/anopheies/0.9985_57114081.jpeg,688,852,149.0,4.0,645.0,719.0,anopheles
../data_round_2/final/train_04354.jpeg,1024,1365,410.5692138671875,762.8112182617188,599.8098754882812,936.6552734375,albopictus
../inaturalist-six-cropped/inaturalist/inaturalist_crawler_data_all_cleaned_sub/albopictus/0.9948_107230664.jpg,184,143,0.0,13.0,174.0,131.0,albopictus
../inaturalist-six-cropped/inaturalist/inaturalist_crawler_data_all_cleaned_sub/anopheies/0.9954_223077080.jpg,495,597,0.0,0.0,597.0,495.0,anopheles
../data_round_2/final/train_04578.jpeg,768,1024,73.1526870727539,161.31875610351562,604.4747924804688,774.0408325195312,culex
../inaturalist-six-cropped/inaturalist/inaturalist_crawler_data_all_cleaned_sub/anopheies/0.9972_22931921.jpg,298,399,18.0,2.0,253.0,391.0,anopheles
../data_round_2/final/train_01885.jpeg,4160,3120,1935.6591796875,1269.649658203125,2333.2734375,1660.3907470703125,albopictus
../gbif-cropped/culex/2647.jpg,394,394,0.0,0.0,394.0,394.0,culex
../inaturalist-six-cropped/inaturalist/inaturalist_crawler_data_all_cleaned_sub/japonicus/0.9992_107942123.jpg,1106,720,0.0,24.0,1082.0,720.0,japonicus/koreicus
../inaturalist-six-cropped/inaturalist/inaturalist_crawler_data_all_cleaned_sub/aegypti/0.9978_295119883.jpg,706,856,19.0,18.0,661.0,831.0,aegypti
../inaturalist-six-cropped/inaturalist/inaturalist_crawler_data_all_cleaned_sub/japonicus/0.9982_135543701.jpg,987,954,25.0,11.0,978.0,834.0,japonicus/koreicus
../inaturalist-six-cropped/inaturalist/inaturalist_crawler_data_all_cleaned_sub/anopheies/0.9994_213841766.jpeg,837,671,21.0,34.0,747.0,609.0,anopheles
../inaturalist-six-cropped/inaturalist/inaturalist_crawler_data_all_cleaned_sub/culex/0.9994_177678090.jpg,1102,953,39.0,38.0,1096.0,851.0,culex
../inaturalist-six-cropped/inaturalist/inaturalist_crawler_data_all_cleaned_sub/albopictus/0.9959_86793898.jpeg,244,196,13.0,22.0,224.0,185.0,albopictus
../inaturalist-six-cropped/inaturalist/inaturalist_crawler_data_all_cleaned_sub/culiseta/0.9994_76474622.jpg,492,582,28.0,4.0,468.0,582.0,culiseta
../inaturalist-six-cropped/inaturalist/inaturalist_crawler_data_all_cleaned_sub/culex/0.9970_77919663.jpg,484,374,34.0,33.0,432.0,335.0,culex
../inaturalist-six-cropped/inaturalist/inaturalist_crawler_data_all_cleaned_sub/culex/0.9981_168305615.jpg,855,731,105.0,157.0,839.0,688.0,culex
../inaturalist-six-cropped/inaturalist/inaturalist_crawler_data_all_cleaned_sub/albopictus/0.9993_218130964.jpeg,1451,1418,44.0,0.0,1451.0,1385.0,albopictus
../inaturalist-six-cropped/inaturalist/inaturalist_crawler_data_all_cleaned_sub/aegypti/0.9993_96137432.jpg,417,437,32.0,10.0,378.0,431.0,aegypti
../inaturalist-six-cropped/inaturalist/inaturalist_crawler_data_all_cleaned_sub/culex/0.9982_66310941.jpg,675,1056,45.0,26.0,650.0,959.0,culex
