                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1936,                 2.2882,                 1.3399,                0.35839,                0.55884,                0.46718,                0.33657,                0.94341,                0.98234,                 1.1472,              0.0033258,              0.0033258,              0.0033258
                      2,                 1.0451,                 1.1353,                 1.2181,                0.64941,                0.48466,                0.45858,                0.32075,                 1.0137,                 1.0395,                  1.201,              0.0065933,              0.0065933,              0.0065933
                      3,                 1.1293,                  1.222,                 1.2683,                0.28554,                 0.4911,                0.43362,                0.30648,                0.99154,                 1.2349,                 1.1959,              0.0097947,              0.0097947,              0.0097947
                      4,                  1.195,                 1.3069,                 1.3179,                0.86842,                0.39017,                0.45205,                0.31824,                  1.005,                 1.1132,                 1.2026,               0.009703,               0.009703,               0.009703
                      5,                 1.1524,                 1.2202,                 1.2899,                0.36448,                0.54208,                0.46358,                 0.3376,                0.96594,                 1.0153,                 1.1724,               0.009604,               0.009604,               0.009604
                      6,                 1.1217,                 1.1714,                  1.272,                0.42231,                0.53698,                0.50991,                0.37777,                0.90434,                0.90014,                 1.1399,               0.009505,               0.009505,               0.009505
                      7,                 1.0888,                 1.1201,                 1.2539,                0.41949,                0.56907,                0.50584,                0.35451,                 0.9885,                0.91934,                 1.2248,               0.009406,               0.009406,               0.009406
                      8,                 1.0663,                 1.0915,                 1.2492,                 0.4146,                0.66417,                0.52333,                0.40367,                 0.8191,                0.80612,                 1.0944,               0.009307,               0.009307,               0.009307
                      9,                   1.06,                  1.057,                 1.2452,                0.50995,                0.62852,                0.58468,                0.43863,                 0.8748,                 0.7576,                 1.1187,               0.009208,               0.009208,               0.009208
                     10,                 1.0272,                 1.0213,                 1.2132,                0.78471,                0.56282,                0.58407,                0.45276,                0.81345,                0.73898,                 1.0802,               0.009109,               0.009109,               0.009109
                     11,                 1.0321,                 1.0114,                 1.2214,                0.48961,                0.66745,                0.58843,                0.45897,                0.79965,                 0.7406,                 1.0801,                0.00901,                0.00901,                0.00901
                     12,                0.99478,                0.99415,                 1.2029,                0.79357,                0.54249,                0.59453,                0.46272,                0.79134,                0.73573,                 1.0781,               0.008911,               0.008911,               0.008911
                     13,                0.99302,                0.97756,                 1.2002,                0.50335,                0.64986,                0.60397,                0.47181,                0.76264,                0.68805,                 1.0611,               0.008812,               0.008812,               0.008812
                     14,                 0.9783,                0.94885,                  1.188,                0.77733,                0.56165,                0.61053,                0.47915,                0.77837,                0.70125,                 1.0615,               0.008713,               0.008713,               0.008713
                     15,                0.97582,                0.93327,                 1.1873,                0.70541,                 0.6043,                0.61834,                 0.4915,                0.75628,                0.66574,                 1.0554,               0.008614,               0.008614,               0.008614
                     16,                0.97302,                0.92382,                 1.1885,                0.80883,                0.55344,                0.59633,                0.47159,                0.75357,                0.71391,                 1.0515,               0.008515,               0.008515,               0.008515
                     17,                0.95697,                0.90437,                 1.1843,                0.55984,                0.71657,                0.64242,                0.51599,                0.73649,                0.65638,                 1.0479,               0.008416,               0.008416,               0.008416
                     18,                0.94775,                0.89392,                 1.1795,                0.83597,                0.59669,                0.65955,                0.52908,                0.71536,                0.61733,                 1.0267,               0.008317,               0.008317,               0.008317
                     19,                0.93085,                0.87969,                 1.1658,                0.59891,                0.68869,                0.67037,                0.54477,                0.71449,                0.60356,                 1.0239,               0.008218,               0.008218,               0.008218
