                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.94099,                 2.1467,                 1.2644,                0.41492,                0.44467,                0.35038,                0.27329,                0.79916,                 1.1197,                  1.068,              0.0033273,              0.0033273,              0.0033273
                      2,                0.80667,                 1.1626,                 1.1687,                0.55692,                0.37356,                0.35369,                0.26662,                0.90602,                 1.1026,                  1.135,              0.0065947,              0.0065947,              0.0065947
                      3,                0.88986,                 1.2456,                 1.2215,                0.40569,                0.32545,                0.25703,                0.15088,                 1.3961,                 1.6535,                 1.5495,              0.0097961,              0.0097961,              0.0097961
                      4,                0.95455,                 1.3216,                 1.2686,                0.45299,                0.46249,                0.35886,                0.26442,                0.90579,                 1.1298,                 1.1619,               0.009703,               0.009703,               0.009703
                      5,                0.91555,                 1.2371,                 1.2376,                 0.6305,                0.38941,                0.35056,                0.25926,                0.87532,                 1.0863,                 1.1369,               0.009604,               0.009604,               0.009604
                      6,                0.86795,                 1.1787,                 1.2059,                  0.514,                0.50027,                 0.4247,                0.34291,                0.77244,                0.89437,                 1.0262,               0.009505,               0.009505,               0.009505
                      7,                0.84748,                 1.1257,                 1.1906,                0.67133,                 0.4174,                0.41584,                0.33486,                0.76388,                0.93979,                 1.0085,               0.009406,               0.009406,               0.009406
                      8,                0.81742,                 1.0966,                 1.1729,                0.51868,                0.49449,                0.43884,                0.34567,                0.77051,                0.85607,                 1.0346,               0.009307,               0.009307,               0.009307
                      9,                0.81013,                 1.0679,                   1.17,                0.51603,                0.53594,                 0.4331,                0.35731,                0.67906,                0.83559,                0.95486,               0.009208,               0.009208,               0.009208
                     10,                0.79454,                 1.0371,                 1.1588,                0.52373,                0.50724,                0.42774,                  0.346,                0.73364,                0.88765,                 0.9969,               0.009109,               0.009109,               0.009109
                     11,                0.77823,                 1.0077,                 1.1507,                0.54558,                0.45014,                0.45392,                0.37663,                0.69096,                0.78672,                0.97716,                0.00901,                0.00901,                0.00901
                     12,                 0.7602,                0.99456,                 1.1428,                0.60138,                0.48469,                0.46628,                0.38141,                0.70469,                0.78178,                0.97471,               0.008911,               0.008911,               0.008911
                     13,                0.75496,                0.97928,                 1.1388,                0.56348,                0.55478,                0.47139,                0.38728,                0.67227,                 0.7708,                0.95185,               0.008812,               0.008812,               0.008812
                     14,                0.74056,                0.95544,                 1.1311,                0.59279,                0.53017,                0.49858,                0.42312,                0.65657,                0.73726,                0.94046,               0.008713,               0.008713,               0.008713
                     15,                0.73783,                0.94056,                 1.1239,                0.60221,                 0.5085,                0.48916,                0.41028,                 0.6387,                0.73963,                0.92907,               0.008614,               0.008614,               0.008614
                     16,                0.72735,                0.93531,                 1.1151,                0.58009,                0.55085,                0.50647,                0.42801,                0.64517,                0.71229,                 0.9269,               0.008515,               0.008515,               0.008515
                     17,                0.71738,                0.91283,                 1.1138,                0.59438,                0.52238,                0.48575,                0.41045,                0.65942,                0.73233,                0.93947,               0.008416,               0.008416,               0.008416
