                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2998,                  2.242,                 1.3834,                0.61244,                0.37766,                0.33022,                0.23597,                0.99367,                0.88983,                 1.1731,              0.0033269,              0.0033269,              0.0033269
                      2,                 1.1879,                 1.2056,                 1.2794,                0.58064,                0.38338,                0.32526,                0.22791,                 1.0399,                 1.0837,                 1.2085,              0.0065943,              0.0065943,              0.0065943
                      3,                 1.2773,                 1.2988,                 1.3445,                0.71915,                0.32878,                0.29002,                0.19221,                 1.1485,                 1.1651,                 1.3007,              0.0097957,              0.0097957,              0.0097957
                      4,                 1.3151,                 1.3495,                 1.3696,                0.89738,                0.25289,                0.27897,                0.18245,                 1.1665,                 1.2532,                 1.2973,               0.009703,               0.009703,               0.009703
                      5,                 1.2829,                 1.3073,                 1.3593,                0.57105,                0.40298,                0.31859,                0.21944,                  1.072,                 1.1051,                 1.2356,               0.009703,               0.009703,               0.009703
                      6,                 1.2611,                 1.2332,                 1.3383,                0.68366,                0.35965,                0.35702,                0.25295,                 1.0482,                0.95403,                  1.219,               0.009604,               0.009604,               0.009604
                      7,                 1.2315,                  1.189,                 1.3294,                0.62497,                0.37568,                0.36144,                0.25351,                 1.0594,                0.94463,                 1.2306,               0.009505,               0.009505,               0.009505
                      8,                 1.2108,                 1.1564,                 1.3185,                0.85077,                0.36043,                 0.3923,                0.27874,                  1.028,                0.88826,                 1.2116,               0.009406,               0.009406,               0.009406
                      9,                 1.1858,                  1.126,                  1.298,                0.68557,                0.36437,                0.37985,                0.27257,                 1.0108,                0.87088,                 1.1923,               0.009307,               0.009307,               0.009307
                     10,                 1.1862,                 1.0942,                 1.2973,                0.69039,                0.42694,                0.41104,                0.30043,                 0.9832,                 0.8162,                 1.1635,               0.009208,               0.009208,               0.009208
                     11,                  1.165,                 1.0676,                 1.2827,                0.64363,                 0.4092,                0.38597,                0.28535,                0.97273,                0.86292,                 1.1695,               0.009109,               0.009109,               0.009109
                     12,                  1.147,                 1.0626,                 1.2748,                 0.6679,                0.45355,                0.41617,                0.30968,                0.97302,                0.78275,                 1.1628,                0.00901,                0.00901,                0.00901
                     13,                  1.148,                 1.0357,                 1.2717,                0.70123,                0.44086,                0.42264,                0.31463,                0.97748,                0.76877,                 1.1707,               0.008911,               0.008911,               0.008911
                     14,                 1.1442,                 1.0333,                 1.2692,                0.66388,                 0.4114,                0.40676,                0.30097,                0.95343,                0.78707,                 1.1574,               0.008812,               0.008812,               0.008812
                     15,                  1.135,                 1.0054,                 1.2644,                0.70951,                0.45218,                0.42967,                0.32095,                0.94274,                 0.7589,                 1.1481,               0.008713,               0.008713,               0.008713
                     16,                 1.1128,                 1.0015,                 1.2482,                0.71363,                0.44525,                0.44234,                 0.3347,                0.93996,                0.74847,                 1.1404,               0.008614,               0.008614,               0.008614
                     17,                 1.1137,                0.97934,                 1.2502,                0.70319,                0.43356,                0.42083,                0.31548,                 0.9449,                0.75752,                 1.1372,               0.008515,               0.008515,               0.008515
                     18,                 1.1075,                0.97127,                 1.2477,                0.70225,                0.44919,                0.44699,                0.33898,                0.92423,                0.72684,                 1.1272,               0.008416,               0.008416,               0.008416
                     19,                 1.1058,                0.96929,                 1.2444,                0.72389,                0.46732,                0.44691,                0.34228,                0.90845,                0.70493,                 1.1143,               0.008317,               0.008317,               0.008317
                     20,                 1.0872,                 0.9591,                 1.2333,                0.73986,                0.45959,                0.45269,                0.34212,                0.93089,                0.72462,                 1.1274,               0.008218,               0.008218,               0.008218
                     21,                 1.0937,                0.94243,                 1.2343,                0.71385,                0.45903,                0.45434,                 0.3487,                0.90917,                0.69451,                 1.1178,               0.008119,               0.008119,               0.008119
                     22,                 1.0859,                0.93701,                  1.239,                0.70268,                0.46555,                0.45807,                0.34898,                0.91798,                 0.7113,                 1.1243,                0.00802,                0.00802,                0.00802
                     23,                 1.0862,                0.93098,                 1.2362,                0.61014,                 0.4432,                0.43941,                0.33575,                0.89493,                0.72213,                  1.117,               0.007921,               0.007921,               0.007921
                     24,                 1.0729,                0.92167,                 1.2234,                0.75938,                0.45626,                  0.464,                0.35292,                0.89768,                 0.6754,                 1.1153,               0.007822,               0.007822,               0.007822
                     25,                 1.0738,                0.90703,                 1.2226,                 0.7453,                0.44888,                0.46263,                0.35408,                0.89358,                0.69438,                  1.108,               0.007723,               0.007723,               0.007723
                     26,                  1.071,                0.90289,                 1.2217,                0.72908,                0.48882,                0.47213,                0.36757,                0.86465,                0.65321,                 1.0994,               0.007624,               0.007624,               0.007624
                     27,                 1.0692,                0.90199,                 1.2264,                0.73704,                0.48809,                0.46515,                0.35878,                0.88842,                0.66264,                 1.1041,               0.007525,               0.007525,               0.007525
                     28,                 1.0554,                  0.891,                 1.2134,                0.59605,                0.47011,                0.46563,                0.36268,                0.87417,                0.66557,                  1.094,               0.007426,               0.007426,               0.007426
                     29,                 1.0468,                0.87034,                 1.2105,                0.76918,                0.47639,                0.47126,                0.36328,                0.86739,                0.64234,                 1.0949,               0.007327,               0.007327,               0.007327
                     30,                 1.0484,                0.87086,                 1.2093,                 0.5921,                0.49729,                0.48797,                0.37638,                0.87914,                0.65401,                 1.0997,               0.007228,               0.007228,               0.007228
