                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1902,                 1.8208,                 1.3261,                0.41512,                0.58636,                0.47304,                0.34677,                0.90021,                0.95075,                 1.1395,              0.0033258,              0.0033258,              0.0033258
                      2,                 1.0457,                 1.1264,                 1.2219,                0.64494,                0.48691,                0.45604,                0.32909,                0.93976,                 1.1028,                 1.1726,              0.0065933,              0.0065933,              0.0065933
                      3,                 1.1208,                 1.2106,                 1.2716,                0.62212,                0.39486,                0.41972,                0.26735,                 1.2082,                 1.2384,                 1.3609,              0.0097947,              0.0097947,              0.0097947
                      4,                 1.1961,                 1.2874,                 1.3151,                0.62395,                0.48982,                0.46339,                 0.3191,                  1.061,                 1.1507,                 1.2386,               0.009703,               0.009703,               0.009703
                      5,                  1.159,                 1.2036,                 1.2919,                0.56948,                 0.4427,                0.43653,                0.29888,                 1.0441,                 1.1478,                 1.2301,               0.009604,               0.009604,               0.009604
                      6,                 1.1265,                 1.1703,                 1.2748,                0.50323,                 0.5785,                0.53315,                0.39601,                0.88579,                0.89575,                 1.1402,               0.009505,               0.009505,               0.009505
                      7,                  1.099,                  1.104,                 1.2607,                0.72695,                0.50983,                0.53381,                  0.397,                 0.8945,                0.81786,                 1.1403,               0.009406,               0.009406,               0.009406
                      8,                 1.0631,                 1.0841,                 1.2476,                0.73975,                0.51525,                 0.5441,                0.41676,                0.83921,                0.79021,                 1.1018,               0.009307,               0.009307,               0.009307
                      9,                 1.0584,                 1.0495,                 1.2439,                0.45318,                0.58863,                0.54943,                 0.4237,                0.84433,                0.78203,                 1.1028,               0.009208,               0.009208,               0.009208
                     10,                 1.0223,                 1.0126,                 1.2108,                0.75184,                0.55601,                0.57281,                0.44589,                 0.7842,                0.74423,                 1.0597,               0.009109,               0.009109,               0.009109
                     11,                 1.0256,                 1.0092,                 1.2147,                0.47157,                0.60615,                0.54503,                0.42588,                0.80576,                0.79113,                 1.0918,                0.00901,                0.00901,                0.00901
                     12,                0.98722,                0.98051,                 1.2009,                0.52665,                0.68914,                0.60195,                0.46963,                0.80167,                0.71946,                 1.0754,               0.008911,               0.008911,               0.008911
                     13,                 0.9912,                0.97967,                 1.2045,                0.56058,                 0.6261,                0.62324,                0.49408,                0.76886,                0.68749,                 1.0629,               0.008812,               0.008812,               0.008812
                     14,                0.97597,                0.95515,                  1.196,                0.83774,                0.55603,                0.62337,                0.49634,                0.74817,                0.66457,                 1.0522,               0.008713,               0.008713,               0.008713
                     15,                0.97093,                0.93232,                 1.1839,                0.79925,                0.56442,                0.60371,                0.48251,                0.74444,                0.70869,                 1.0484,               0.008614,               0.008614,               0.008614
                     16,                0.96706,                0.93109,                 1.1836,                0.82234,                0.59208,                0.63544,                0.51012,                0.72332,                0.65208,                 1.0348,               0.008515,               0.008515,               0.008515
                     17,                 0.9613,                0.90811,                 1.1831,                0.57561,                0.64654,                0.62726,                0.49684,                0.74672,                0.66156,                 1.0495,               0.008416,               0.008416,               0.008416
                     18,                 0.9421,                0.89148,                 1.1744,                0.84577,                 0.5906,                0.65489,                0.53073,                0.71212,                0.61984,                 1.0274,               0.008317,               0.008317,               0.008317
                     19,                0.93331,                 0.8806,                 1.1668,                0.54819,                0.67752,                0.65395,                0.52413,                0.72734,                0.65116,                 1.0313,               0.008218,               0.008218,               0.008218
                     20,                0.92924,                0.87374,                 1.1623,                 0.5667,                0.70836,                 0.6615,                0.53271,                0.72281,                0.62323,                 1.0366,               0.008119,               0.008119,               0.008119
